url,price,make,model,variant,reg,previous-owners,mpg,colour,interior-colour,exterior-colour,doors,fuel-type,bodystyle,mileage,engine-size,transmission
https://www.namauto.com/cars/9336796-nissan-np200-1.5-dci/,"N$ 204,900",Nissan,NP200,1.5 DCi,2019NP200A,N/A,N/A,White,Grey,White,2,Diesel,Bakkie Single Cab,20 km,1.5 l,Manual
https://www.namauto.com/cars/10357118-kia-sportage-2.0-ignite/,"N$ 205,000",Kia,Sportage,2.0 IGNITE,VILJOEN,1,N/A,Silver,Black,Silver,5,Petrol,SUV,"115,000 km",2 l,Manual
https://www.namauto.com/cars/10034417-ford-figo-1.5-trend/,"N$ 207,500",Ford,Figo,1.5 TREND,20FDE70730,1,N/A,Blue,N/A,BLUE,4,Petrol,Sedan,"1,000 km",1.5 l,Manual
https://www.namauto.com/cars/10196343-toyota-corolla-1.6-prestige/,"N$ 209,000",Toyota,Corolla,1.6 PRESTIGE,USED,1,N/A,Blue,black,blue,4,Petrol,Sedan,"81,000 km",1.6 l,Manual
https://www.namauto.com/cars/9792878-mazda-3-2.0-individual-5-dr/,"N$ 209,900",Mazda,3,2.0 INDIVIDUAL 5DR,10MCU48533,1,N/A,White,N/A,white,5,Petrol,Hatchback,"60,000 km",2 l,Manual
https://www.namauto.com/cars/10099126-tata-safari-2.2-dicor-4-x4-glx-d-c-automatic/,"N$ 209,900",TATA,Safari,2.2 DICOR 4X4 GLX D/C Automatic,USED,1,N/A,White,Black,White,5,Diesel,Station Wagon,"12,500 km",2.2 l,Manual
https://www.namauto.com/cars/9876565-nissan-hardbody-np300-2.4-i-4-x4-p-u-d-c/,"N$ 213,700",Nissan,HARDBODY,NP300 2.4I 4X4 P/U D/C,N82516W,N/A,N/A,White,N/A,WHITE,4,Petrol,Bakkie Double Cab,"81,460 km",2.4 l,Manual
https://www.namauto.com/cars/10265002-nissan-np300-hardbody-hardbody-np300-2.5-tdi-4-x4-p-u-d-c/,"N$ 219,700",Nissan,NP300 Hardbody,HARDBODY NP300 2.5 TDI 4X4 P/U D/C,USED,1,N/A,White,Grey,White,4,Diesel,Bakkie Double Cab,"71,000 km",2.5 l,Manual
https://www.namauto.com/cars/9901611-ford-eco-sport-1.5-ti-vct-ambiente/,"N$ 219,900",Ford,EcoSport,1.5TiVCT AMBIENTE,10UCA67345,1,N/A,Silver,N/A,silver,5,Petrol,SUV,"53,000 km",1.5 l,Manual
https://www.namauto.com/cars/10127912-audi-a3-1.4-t-fsi-s-stronic-3-dr/,"N$ 219,900",Audi,A3,1.4T FSI S STRONIC 3DR,PREOWNED,1,N/A,White,Black,White,3,Petrol,Hatchback,"55,500 km",1.4 l,Automatic
https://www.namauto.com/cars/10255006-volkswagen-jetta-gp-1.6-conceptline/,"N$ 219,900",Volkswagen,Jetta,GP 1.6 CONCEPTLINE,PREOWNED,1,N/A,White,Black,White,4,Petrol,Sedan,"40,000 km",1.6 l,Manual
https://www.namauto.com/cars/9680221-ford-transit-custom-transit-custom-panel-van-2.2-tdci-114k-w-swb-sport/,"N$ 220,000",Ford,Transit Custom,Transit Custom panel van 2.2TDCi 114kW SWB Sport,10FDE41398,1,N/A,Silver,BLACK,SILVER,4,Diesel,Panel Van,"50,000 km",2.2 l,Manual
