index,url,price,make,model,variant,reg,previous-owners,mpg,colour,interior-colour,exterior-colour,doors,fuel-type,bodystyle,mileage,engine-size,transmission
1,https://www.namauto.com/cars/10164119-nissan-x-trail-x-trail-2.5-acenta-4-x4-cvt/,"N$ 269,000 ",Nissan,X-Trail,X TRAIL 2.5 ACENTA 4X4 CVT,USED,1,N/A,Silver,Grey,Silver,5,Petrol,SUV,"60,000 km",2.5 l,CVT
2,https://www.namauto.com/cars/10249240-nissan-x-trail-x-trail-2.5-acenta-4-x4-cvt/,"N$ 269,000 ",Nissan,X-Trail,X TRAIL 2.5 ACENTA 4X4 CVT,USED,1,N/A,Silver,Grey,Silver,5,Petrol,SUV,"45,000 km",2.5 l,CVT
3,https://www.namauto.com/cars/9789769-alfa-romeo-giulietta-1.4-t-tct-distinctive-5-dr/,"N$ 269,900 ",Alfa Romeo,Giulietta,1.4T TCT DISTINCTIVE 5Dr,PREOWNED,1,N/A,Grey,Cream,Grey,5,Petrol,Hatchback,"21,500 km",1.4 l,Automatic
4,https://www.namauto.com/cars/10069879-volkswagen-jetta-1.6-tdi-comfortline-dsg/,"N$ 269,995 ",Volkswagen,Jetta,1.6 TDi COMFORTLINE DSG,USED,1,N/A,White,Black,White,4,Diesel,Sedan,"163,253 km",1.6 l,Automatic
5,https://www.namauto.com/cars/10123172-toyota-fortuner-3.0-d-4-d-4-x4/,"N$ 269,995 ",Toyota,Fortuner,3.0D-4D 4X4,USED,2,N/A,White,Beige,White,5,Diesel,SUV,"191,730 km",3 l,Manual
6,https://www.namauto.com/cars/10404940-hyundai-h-1-2.5-crdi-wagon/,"N$ 269,995 ",Hyundai,H-1,2.5 CRDI WAGON,USED,1,N/A,Silver,Beige,Silver,5,Diesel,MINIBUS,"81,516 km",2.5 l,Automatic
7,https://www.namauto.com/cars/8220332-haval-h6-1.5-t-premium/,"N$ 270,950 ",HAVAL,H6,1.5T PREMIUM,NEW,N/A,N/A,Silver,Black,Silver,5,Petrol,SUV,10 km,1.5 l,Manual
8,https://www.namauto.com/cars/10391773-toyota-yaris-1.5-xs-5-dr/,"N$ 271,700 ",Toyota,Yaris,1.5 XS 5DR,NEW,N/A,N/A,White,Grey,White,5,Petrol,Hatchback,10 km,1.5 l,Manual
9,https://www.namauto.com/cars/10401296-volkswagen-polo-gp-1.6-comfortline-tip/,"N$ 274,000 ",Volkswagen,Polo,GP 1.6 COMFORTLINE TIP,NEW,N/A,N/A,Bronze,N/A,N/A,4,Petrol,Sedan,15 km,1.6 l,Automatic
10,https://www.namauto.com/cars/6989256-honda-ballade-elegance/,"N$ 274,900 ",Honda,Ballade,Elegance,NEW,N/A,N/A,Silver,Black,Alabaster Silver Metallic,4,Petrol,Sedan,N/A,1.5 l,Manual
11,https://www.namauto.com/cars/7556960-toyota-hilux-3.0-d-4-d-raider-4-x4/,"N$ 275,000 ",Toyota,Hilux,3.0 D-4D RAIDER 4X4,USED,1,N/A,White,Black,white,4,Diesel,Bakkie Double Cab,"193,400 km",3 l,Manual
12,https://www.namauto.com/cars/7901072-toyota-fortuner-3.0-d-4-d-heritage/,"N$ 275,000 ",Toyota,Fortuner,3.0D-4D HERITAGE,USED,1,12.0 KPL,Silver,Black,silver,5,Diesel,SUV,"220,000 km",3 l,Manual
13,https://www.namauto.com/cars/9324739-mitsubishi-pajero-3.2-di-dc-gls/,"N$ 275,000 ",Mitsubishi,Pajero,3.2 Di - Dc GLS,RH,1,N/A,White,Black,Off-White,3,Diesel,SUV,"138,000 km",3.2 l,Automatic
14,https://www.namauto.com/cars/10164124-toyota-rav4-2.0-gx-a-t/,"N$ 275,000 ",Toyota,RAV4,2.0 GX A/T,USED,1,N/A,White,Grey,White,5,Petrol,SUV,"65,000 km",2 l,CVT
15,https://www.namauto.com/cars/7491102-kia-k-2700-workhorse/,"N$ 275,070 ",Kia,K,2700 WORKHORSE,NEW,N/A,N/A,White,GREY,CLEAR WHITE,2,Diesel,Bakkie Single Cab,24 km,2.7 l,Manual
16,https://www.namauto.com/cars/6985235-honda-jazz-elegance-5-door/,"N$ 276,000 ",Honda,Jazz,Elegance 5-Door,NEW,N/A,N/A,Red,Black,Rally Red,5,Petrol,Mini MPV,N/A,1.5 l,Manual
17,https://www.namauto.com/cars/10134885-hyundai-accent-1.6-gl-motion/,"N$ 276,000 ",Hyundai,Accent,1.6 GL/MOTION,NEW,N/A,N/A,White,Black,White,4,Petrol,Sedan,1 km,1.6 l,Manual
18,https://www.namauto.com/cars/6995243-honda-br-v-1.5-comfort-cvt/,"N$ 277,000 ",Honda,BR-V,1.5 COMFORT CVT,NEW,N/A,N/A,White,Black,Orchid White Pearl,5,Petrol,SUV,N/A,1.5 l,Automatic
19,https://www.namauto.com/cars/10305831-toyota-hilux-3.0-d-4-d-raider-4-x4/,"N$ 279,000 ",Toyota,Hilux,3.0 D-4D RAIDER 4X4,USED,2,N/A,Silver,N/A,silver,4,Diesel,Bakkie Double Cab,"300,000 km",3 l,Automatic
20,https://www.namauto.com/cars/7006197-toyota-avanza-1.5-sx-a-t/,"N$ 279,600 ",Toyota,AVANZA,1.5 SX A/T,NEW,N/A,15.0 KPL,White,Black,Tusk White,5,Petrol,MPV,20 km,1.5 l,Automatic
21,https://www.namauto.com/cars/10321905-audi-a4-1.8-t-se-multitronic/,"N$ 279,900 ",Audi,A4,1.8T SE MULTITRONIC,12,1,N/A,Silver,Black,Silver,4,Petrol,Sedan,"52,500 km",1.8 l,Automatic
22,https://www.namauto.com/cars/9055931-jeep-grand-cherokee-5.7-v8-o-land/,"N$ 279,995 ",Jeep,Grand Cherokee,5.7 V8 O/LAND,USED,2,N/A,Silver,Black,Silver,5,Petrol,SUV,"116,294 km",5.7 l,Automatic
23,https://www.namauto.com/cars/10120294-isuzu-kb-300-d-teq-lx-4-x4/,"N$ 279,995 ",Isuzu,KB,300 D-TEQ LX 4X4,USED,1,N/A,White,Black,White,4,Diesel,Bakkie Double Cab,"84,866 km",3 l,Manual
0,https://www.namauto.com/cars/10168443-hyundai-i20-1.4-fluid/,"N$ 279,995 ",Hyundai,i20,1.4 FLUID,USED,N/A,N/A,Blue,Black,Blue,5,Petrol,Hatchback,"5,000 km",1.4 l,Manual
1,https://www.namauto.com/cars/10404371-foton-tunland-2.8-isf-comfort-4-x4/,"N$ 279,995 ",FOTON,TUNLAND,2.8 ISF COMFORT 4X4,USED,1,N/A,White,Black,White,4,Diesel,Bakkie Double Cab,"32,405 km",2.8 l,Manual
2,https://www.namauto.com/cars/7370347-gwm-steed-5-2.0-vgt-sx-4-x4-p-u-d-c/,"N$ 280,000 ",GWM,Steed 5,2.0 VGT SX 4X4 P/U D/C,NEW,N/A,N/A,White,Black,Titanium White,4,Diesel,Bakkie Double Cab,10 km,2 l,Manual
3,https://www.namauto.com/cars/8898747-nissan-new-micra-0.9-t-acenta-plus/,"N$ 281,400 ",Nissan,New Micra,0.9T Acenta Plus,NEW,N/A,N/A,Orange,Black,Orange,5,Petrol,Hatchback,1 km,0.9 l,Manual
4,https://www.namauto.com/cars/6995283-honda-br-v-1.5-elegance/,"N$ 282,000 ",Honda,BR-V,1.5 ELEGANCE,NEW,N/A,N/A,White,Black,Orchid White Pearl,5,Petrol,SUV,N/A,1.5 l,Manual
5,https://www.namauto.com/cars/10134989-hyundai-h100-2.6-d/,"N$ 282,000 ",Hyundai,H100,2.6D,NEW,N/A,N/A,White,N/A,white,2,Diesel,Chassis Cab,1 km,2.6 l,Manual
6,https://www.namauto.com/cars/7002876-toyota-corolla-1.3-esteem/,"N$ 283,100 ",Toyota,Corolla,1.3 ESTEEM,NEW,N/A,6.0 KPL,Bronze,Black,Avant-Garde Bronze,4,Petrol,Sedan,20 km,1.3 l,Manual
7,https://www.namauto.com/cars/10114428-renault-megane-iv-1.6-expression/,"N$ 284,592 ",Renault,Megane,IV 1.6 EXPRESSION,NEW,N/A,N/A,Silver,Black,silver,5,Petrol,Hatchback,N/A,1.6 l,Manual
8,https://www.namauto.com/cars/9409538-bmw-2-series-228i-modern-line/,"N$ 285,000 ",BMW,2 Series,228i MODERN LINE,USED,1,N/A,Blue,Black,Blue,2,Petrol,Coupe,"136,000 km",2 l,Automatic
9,https://www.namauto.com/cars/9714666-toyota-hilux-3.0-d-4-d-raider-xtra-cab-4-x4/,"N$ 285,000 ",Toyota,Hilux,3.0D-4D RAIDER XTRA CAB 4X4,USED,1,N/A,White,Grey,White,2,Diesel,Bakkie Single Cab,"185,139 km",3 l,Manual
10,https://www.namauto.com/cars/9770322-nissan-qashqai-1.2-t-acenta/,"N$ 285,000 ",Nissan,Qashqai,1.2T ACENTA,56,1,N/A,Black,black,silver,5,Petrol,SUV,"33,000 km",1.2 l,Manual
11,https://www.namauto.com/cars/10150776-ford-ranger-2.2-tdci-xls-4-x4-pu-d-c/,"N$ 285,000 ",Ford,Ranger,2.2TDCI XLS 4X4 PU/D/C,N182367W,N/A,N/A,White,N/A,WHITE,4,Diesel,Bakkie Double Cab,"91,050 km",2.2 l,Manual
12,https://www.namauto.com/cars/7592007-kia-rio-hatch-1.4-ex/,"N$ 285,044 ",Kia,Rio,Hatch 1.4 EX,NEW,N/A,N/A,White,BLACK,WHITE,5,Petrol,Hatchback,1 km,1.4 l,Manual
